track_id,entry_time,exit_time,duration_seconds
191,2025-12-17 10:04:05,2025-12-17 10:04:52,46.63
192,2025-12-17 10:05:02,2025-12-17 10:05:20,17.82
194,2025-12-17 10:05:31,2025-12-17 10:06:07,36.23
184,2025-12-17 10:01:09,2025-12-17 10:06:17,307.4
197,2025-12-17 10:06:08,2025-12-17 10:06:27,18.68
199,2025-12-17 10:06:33,2025-12-17 10:07:01,27.57
193,2025-12-17 10:05:27,2025-12-17 10:07:24,117.34
195,2025-12-17 10:05:40,2025-12-17 10:07:34,113.84
201,2025-12-17 10:07:13,2025-12-17 10:07:36,23.02
203,2025-12-17 10:07:51,2025-12-17 10:08:21,30.27
202,2025-12-17 10:07:47,2025-12-17 10:08:43,55.52
204,2025-12-17 10:08:29,2025-12-17 10:08:47,18.05
196,2025-12-17 10:05:51,2025-12-17 10:08:50,178.86
205,2025-12-17 10:08:38,2025-12-17 10:08:59,20.71
206,2025-12-17 10:08:57,2025-12-17 10:09:24,27.43
207,2025-12-17 10:09:25,2025-12-17 10:09:44,19.46
209,2025-12-17 10:09:37,2025-12-17 10:10:16,39.51
200,2025-12-17 10:06:34,2025-12-17 10:10:27,233.07
210,2025-12-17 10:09:54,2025-12-17 10:10:36,41.97
211,2025-12-17 10:10:16,2025-12-17 10:10:38,21.36
208,2025-12-17 10:09:26,2025-12-17 10:11:46,139.65
198,2025-12-17 10:06:32,2025-12-17 10:11:52,319.47
212,2025-12-17 10:10:58,2025-12-17 10:11:53,55.11
215,2025-12-17 10:11:55,2025-12-17 10:12:13,18.81
216,2025-12-17 10:11:56,2025-12-17 10:12:19,22.34
214,2025-12-17 10:11:48,2025-12-17 10:12:25,37.01
218,2025-12-17 10:12:17,2025-12-17 10:12:35,18.59
217,2025-12-17 10:12:15,2025-12-17 10:12:42,27.25
219,2025-12-17 10:12:37,2025-12-17 10:13:08,31.7
220,2025-12-17 10:12:40,2025-12-17 10:13:54,74.05
222,2025-12-17 10:13:37,2025-12-17 10:13:57,20.06
223,2025-12-17 10:13:40,2025-12-17 10:13:58,17.85
225,2025-12-17 10:14:21,2025-12-17 10:14:41,19.83
227,2025-12-17 10:14:27,2025-12-17 10:14:56,29.7
221,2025-12-17 10:12:43,2025-12-17 10:15:12,149.21
228,2025-12-17 10:14:43,2025-12-17 10:15:20,37.71
226,2025-12-17 10:14:26,2025-12-17 10:15:23,57.14
230,2025-12-17 10:15:39,2025-12-17 10:16:21,41.87
231,2025-12-17 10:15:40,2025-12-17 10:16:26,46.03
229,2025-12-17 10:14:58,2025-12-17 10:16:34,95.52
232,2025-12-17 10:16:11,2025-12-17 10:16:52,40.37
235,2025-12-17 10:16:39,2025-12-17 10:17:00,21.57
213,2025-12-17 10:11:14,2025-12-17 10:17:04,350.16
236,2025-12-17 10:17:03,2025-12-17 10:17:21,18.54
224,2025-12-17 10:14:01,2025-12-17 10:18:20,258.94
237,2025-12-17 10:17:41,2025-12-17 10:18:33,52.19
234,2025-12-17 10:16:38,2025-12-17 10:18:46,128.0
238,2025-12-17 10:18:34,2025-12-17 10:18:53,19.22
241,2025-12-17 10:19:01,2025-12-17 10:19:19,17.57
239,2025-12-17 10:19:00,2025-12-17 10:19:21,20.61
233,2025-12-17 10:16:32,2025-12-17 10:20:00,207.94
242,2025-12-17 10:19:33,2025-12-17 10:20:11,37.88
244,2025-12-17 10:19:53,2025-12-17 10:20:12,19.15
243,2025-12-17 10:19:45,2025-12-17 10:20:15,29.45
246,2025-12-17 10:20:20,2025-12-17 10:20:53,33.33
248,2025-12-17 10:20:29,2025-12-17 10:20:53,23.59
249,2025-12-17 10:20:40,2025-12-17 10:20:59,19.15
250,2025-12-17 10:20:55,2025-12-17 10:21:12,17.63
251,2025-12-17 10:20:58,2025-12-17 10:21:19,21.18
247,2025-12-17 10:20:22,2025-12-17 10:21:26,63.15
252,2025-12-17 10:21:27,2025-12-17 10:22:01,34.0
245,2025-12-17 10:20:19,2025-12-17 10:22:10,111.36
240,2025-12-17 10:19:01,2025-12-17 10:22:51,229.74
255,2025-12-17 10:22:53,2025-12-17 10:23:16,22.7
258,2025-12-17 10:23:03,2025-12-17 10:23:21,18.12
256,2025-12-17 10:22:57,2025-12-17 10:23:37,40.02
253,2025-12-17 10:22:27,2025-12-17 10:23:57,90.4
260,2025-12-17 10:23:43,2025-12-17 10:24:02,19.57
262,2025-12-17 10:24:12,2025-12-17 10:24:30,17.64
261,2025-12-17 10:23:47,2025-12-17 10:24:38,51.73
254,2025-12-17 10:22:50,2025-12-17 10:24:41,111.03
266,2025-12-17 10:24:55,2025-12-17 10:25:13,17.95
264,2025-12-17 10:24:52,2025-12-17 10:25:15,22.63
259,2025-12-17 10:23:37,2025-12-17 10:25:16,98.2
267,2025-12-17 10:24:58,2025-12-17 10:25:16,18.29
257,2025-12-17 10:23:01,2025-12-17 10:25:44,163.12
268,2025-12-17 10:26:05,2025-12-17 10:26:23,18.21
270,2025-12-17 10:26:18,2025-12-17 10:26:36,18.15
263,2025-12-17 10:24:47,2025-12-17 10:26:40,113.25
271,2025-12-17 10:26:20,2025-12-17 10:26:52,32.52
272,2025-12-17 10:26:20,2025-12-17 10:27:06,45.76
273,2025-12-17 10:27:13,2025-12-17 10:27:43,29.7
274,2025-12-17 10:27:17,2025-12-17 10:28:09,52.59
276,2025-12-17 10:28:02,2025-12-17 10:28:20,17.98
269,2025-12-17 10:26:05,2025-12-17 10:29:06,180.72
275,2025-12-17 10:27:25,2025-12-17 10:29:08,103.26
278,2025-12-17 10:29:14,2025-12-17 10:29:33,18.71
277,2025-12-17 10:29:13,2025-12-17 10:29:54,41.84
279,2025-12-17 10:29:37,2025-12-17 10:30:22,45.48
282,2025-12-17 10:30:44,2025-12-17 10:31:04,19.56
281,2025-12-17 10:30:11,2025-12-17 10:31:05,54.19
284,2025-12-17 10:31:20,2025-12-17 10:31:38,17.75
288,2025-12-17 10:31:35,2025-12-17 10:31:52,17.83
286,2025-12-17 10:31:23,2025-12-17 10:32:05,41.39
289,2025-12-17 10:31:44,2025-12-17 10:32:06,22.51
280,2025-12-17 10:30:04,2025-12-17 10:32:26,141.75
287,2025-12-17 10:31:33,2025-12-17 10:32:34,61.49
291,2025-12-17 10:32:37,2025-12-17 10:32:55,17.59
290,2025-12-17 10:32:37,2025-12-17 10:32:56,18.87
296,2025-12-17 10:33:35,2025-12-17 10:33:53,18.72
285,2025-12-17 10:31:21,2025-12-17 10:33:54,152.66
292,2025-12-17 10:33:05,2025-12-17 10:34:00,55.17
294,2025-12-17 10:33:20,2025-12-17 10:34:02,42.38
293,2025-12-17 10:33:18,2025-12-17 10:34:13,55.79
297,2025-12-17 10:33:35,2025-12-17 10:34:13,38.04
299,2025-12-17 10:34:16,2025-12-17 10:34:38,22.07
295,2025-12-17 10:33:22,2025-12-17 10:34:42,80.72
265,2025-12-17 10:24:55,2025-12-17 10:35:10,615.16
302,2025-12-17 10:35:30,2025-12-17 10:35:50,19.93
303,2025-12-17 10:35:32,2025-12-17 10:36:10,38.69
298,2025-12-17 10:34:09,2025-12-17 10:36:12,122.92
304,2025-12-17 10:36:10,2025-12-17 10:37:16,65.61
306,2025-12-17 10:37:21,2025-12-17 10:40:04,162.81
307,2025-12-17 10:38:29,2025-12-17 10:40:13,104.0
283,2025-12-17 10:30:59,2025-12-17 10:41:34,635.6
309,2025-12-17 10:42:29,2025-12-17 10:43:39,70.51
300,2025-12-17 10:35:22,2025-12-17 10:44:28,545.99
301,2025-12-17 10:35:22,2025-12-17 10:45:19,596.27
310,2025-12-17 10:44:42,2025-12-17 10:46:20,98.45
305,2025-12-17 10:36:11,2025-12-17 10:46:27,615.72
